,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
148,591559,27153406913,0.24,-1.0,-0.8490566037735849,-0.7358490566037735,53.0,russfeingold,0.065054365,D,0,0,
149,234491,27153406913,0.18,-1.0,-1.4378109452736318,-0.9651741293532339,201.0,russfeingold,0.065054365,D,0,0,
150,253390,27153406913,0.4,-2.0,-1.3738317757009346,-0.8753894080996885,321.0,russfeingold,0.065054365,D,0,0,
151,476319,27153406913,0.22,-1.0,-0.9247787610619469,-0.6814159292035399,226.0,russfeingold,0.065054365,D,0,0,
152,398693,27153406913,0.06,-1.0,-0.765625,-0.6875,64.0,russfeingold,0.065054365,D,0,0,
153,986441,27153406913,0.27,-1.0,-0.5766666666666667,-0.5766666666666667,300.0,russfeingold,0.065054365,D,0,0,
154,416661,27153406913,0.34,-1.0,-1.3333333333333335,-0.9166666666666666,12.0,russfeingold,0.065054365,D,0,0,
155,220095,21595542218,0.51,-1.0,-0.6666666666666666,-0.6388888888888888,36.0,alfranken,0.04858305,D,1,16,
156,395233,21595542218,0.63,2.0,0.6940298507462687,0.20149253731343286,268.0,alfranken,0.04858305,D,1,16,
157,473051,21595542218,0.5,,,,,alfranken,0.04858305,D,1,16,
158,1254250,21595542218,0.71,,,,,alfranken,0.04858305,D,1,16,
159,1015345,21595542218,0.0,-1.0,-1.1111111111111112,-0.8888888888888888,9.0,alfranken,0.04858305,D,1,16,
160,408495,21595542218,0.12,-1.0,-0.6160714285714286,-0.6517857142857143,112.0,alfranken,0.04858305,D,1,16,
161,299560,21595542218,0.1,-1.0,-0.9928825622775801,-0.8754448398576513,281.0,alfranken,0.04858305,D,1,16,
162,479654,21595542218,0.04,0.0,0.05263157894736842,-0.10526315789473684,19.0,alfranken,0.04858305,D,1,16,
163,1018852,21595542218,0.1,-1.0,-0.6666666666666666,-0.5833333333333333,36.0,alfranken,0.04858305,D,1,16,
164,261593,21595542218,0.01,0.0,-0.3333333333333333,-0.3333333333333333,3.0,alfranken,0.04858305,D,1,16,
165,292369,21595542218,0.17,-1.0,-0.709090909090909,-0.6181818181818182,55.0,alfranken,0.04858305,D,1,16,
166,789410,21595542218,0.02,-1.0,-1.0,-0.8333333333333333,18.0,alfranken,0.04858305,D,1,16,
167,1264454,21595542218,0.12,-1.0,-1.0,-0.75,16.0,alfranken,0.04858305,D,1,16,
168,39213,21595542218,0.25,-1.0,-0.9208633093525179,-0.7697841726618705,139.0,alfranken,0.04858305,D,1,16,
169,123209,21595542218,0.36,-1.0,-1.0478723404255321,-0.7553191489361702,188.0,alfranken,0.04858305,D,1,16,
170,232769,21595542218,0.04,-1.0,-1.1025641025641026,-0.782051282051282,78.0,alfranken,0.04858305,D,1,16,
